all,quarter,industry_section_code,industry_section,industry_division,number_of_persons_engaged_total,number_of_persons_engaged_male,number_of_persons_engaged_female,number_of_vacancies,number_of_establishments
All,2000 Q3,C,Manufacturing,Manufacture of food products,18086,11185,6901,264,699
All,2000 Q3,C,Manufacturing,Manufacture of beverages,3003,2468,535,20,25
All,2000 Q3,C,Manufacturing,Manufacture of tobacco products,430,334,96,1,3
All,2000 Q3,C,Manufacturing,Manufacture of textiles,16199,9740,6459,77,1423
All,2000 Q3,C,Manufacturing,Manufacture of wearing apparel,50214,14175,36039,545,2669
All,2000 Q3,C,Manufacturing,"Manufacture of leather and related products; Manufacture of wood and of products of wood and cork, articles of straw and plaiting materials (except furniture and toys)",1412,925,487,4,347
All,2000 Q3,C,Manufacturing,Manufacture of paper and paper products,3696,2755,941,21,616
All,2000 Q3,C,Manufacturing,Printing and reproduction of recorded media,28038,20169,7869,273,4089
All,2000 Q3,C,Manufacturing,Manufacture of coke and refined petroleum products; Manufacture of chemicals and chemical products,2764,1913,851,23,264
All,2000 Q3,C,Manufacturing,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",2384,1034,1350,13,192
All,2000 Q3,C,Manufacturing,"Manufacture of rubber and plastics products (except furniture, toys, sports goods and stationery)",5816,3959,1857,51,1014
All,2000 Q3,C,Manufacturing,Manufacture of other non-metallic mineral products,2456,2040,416,21,282
All,2000 Q3,C,Manufacturing,Manufacture of basic metals,1313,1115,198,9,100
All,2000 Q3,C,Manufacturing,Manufacture of fabricated metal products (except machinery and equipment),10445,7695,2750,25,1951
All,2000 Q3,C,Manufacturing,"Manufacture of computer, electronic and optical products",23815,10904,12911,310,680
All,2000 Q3,C,Manufacturing,Manufacture of electrical equipment,4599,2579,2020,18,361
All,2000 Q3,C,Manufacturing,Manufacture of machinery and equipment n.e.c.,6309,4927,1382,75,1347
All,2000 Q3,C,Manufacturing,Body assembly of motor vehicles; Manufacture of other transport equipment,1556,1337,219,41,101
All,2000 Q3,C,Manufacturing,Manufacture of furniture,850,724,126,4,266
All,2000 Q3,C,Manufacturing,Other manufacturing,13066,8609,4457,66,2283
All,2000 Q3,C,Manufacturing,Repair and installation of machinery and equipment,14285,11594,2691,111,1715
All,2000 Q3,B,Mining and quarrying,Quarrying and other mining of non-metal ores,212,198,14,0,5
All,2000 Q3,D,Electricity and gas supply,Electricity and gas supply,8461,6863,1598,6,19
All,2000 Q3,E,"Sewerage, waste management and remediation services",Sewerage,402,176,226,8,38
All,2000 Q3,E,"Sewerage, waste management and remediation services","Waste collection, treatment and disposal; materials recovery",1874,948,926,10,207
All,2000 Q3,E,"Sewerage, waste management and remediation services",Remediation and other waste management services,111,70,41,0,14
All,2000 Q3,F,Construction,Construction sites (manual workers only),80691,75829,4862,275,960
All,2000 Q3,F,Construction,Public sector sites,44253,41916,2337,239,422
All,2000 Q3,F,Construction,Public sector building sites,26691,24797,1894,189,209
All,2000 Q3,F,Construction,Public sector civil engineering sites,17562,17119,443,50,213
All,2000 Q3,F,Construction,Private sector sites,36438,33913,2525,36,538
All,2000 Q3,F,Construction,Private sector building sites,35060,32596,2464,26,471
All,2000 Q3,F,Construction,Private sector civil engineering sites,1378,1317,61,10,67
All,2000 Q3,G,"Import/export, wholesale and retail trades",Import and export trade,531827,290979,240848,7859,106760
All,2000 Q3,G,"Import/export, wholesale and retail trades",Wholesale,76661,48427,28234,1335,16118
All,2000 Q3,G,"Import/export, wholesale and retail trades",Retail trade,219709,103496,116213,2916,58481
All,2000 Q3,H,"Transportation, storage, postal and courier services",Land transport,44247,38403,5844,381,2556
All,2000 Q3,H,"Transportation, storage, postal and courier services",Water transport,10237,6565,3672,110,411
All,2000 Q3,H,"Transportation, storage, postal and courier services",Air transport,14621,5324,9297,67,107
All,2000 Q3,H,"Transportation, storage, postal and courier services",Warehousing and support services for transportation,54784,36554,18230,620,4208
All,2000 Q3,H,"Transportation, storage, postal and courier services",Postal and courier services,12189,7735,4454,255,626
All,2000 Q3,I,Accommodation and food services,Accommodation services,29304,16554,12750,558,785
All,2000 Q3,I,Accommodation and food services,Food and beverage services,194379,96069,98310,1902,11134
All,2000 Q3,J,Information and communications,Publishing,19339,11407,7932,323,1176
All,2000 Q3,J,Information and communications,"Motion picture, video and television programme production, sound recording and music publishing; Programming and broadcasting",14881,9680,5201,225,1486
All,2000 Q3,J,Information and communications,Telecommunications,26596,17133,9463,324,455
All,2000 Q3,J,Information and communications,Information technology services,21802,15767,6035,1040,3168
All,2000 Q3,J,Information and communications,Information services,3343,1997,1346,62,299
All,2000 Q3,K,Financing and insurance,Financial services (except insurance and pension funding),106525,49435,57090,1433,5875
All,2000 Q3,K,Financing and insurance,Insurance,10717,4049,6668,459,154
All,2000 Q3,K,Financing and insurance,Services auxiliary to financial and insurance services,45422,22814,22608,1834,9053
All,2000 Q3,L,Real estate,Real estate,85025,58092,26933,2214,11048
All,2000 Q3,M,"Professional, scientific and technical services",Legal and accounting services,33850,15324,18526,487,4827
All,2000 Q3,M,"Professional, scientific and technical services",Activities of head offices; management and management consultancy services,19856,9809,10047,319,2918
All,2000 Q3,M,"Professional, scientific and technical services","Architecture and engineering services, technical testing and analysis",27854,19396,8458,521,2315
All,2000 Q3,M,"Professional, scientific and technical services",Scientific research and development,165,89,76,5,39
All,2000 Q3,M,"Professional, scientific and technical services",Advertising and market research,14784,7905,6879,443,3037
All,2000 Q3,M,"Professional, scientific and technical services","Veterinary services; Other professional, scientific and technical services",15603,9337,6266,220,4547
All,2000 Q3,N,Administrative and support services,Rental and leasing services,2005,1287,718,41,442
All,2000 Q3,N,Administrative and support services,Employment services,4385,1578,2807,140,1089
